gene_id,gene_name,runon_chr,runon_strand,runon_start,runon_end,runon_base_mean,runon_log2FC,runon_padj,dose_v_0,gene_log2FC,gene_padj
ENSG00000001167,NFYA,6,+,41102404,41151403,155.59591020685,-0.181169968025912,1,3,-0.623286907117059,0.568910067943898
ENSG00000013392,RWDD2A,6,+,83198936,83208935,15.2209780730177,0.0899906972394482,1,3,-0.0790537552591043,1
ENSG00000013588,GPRC5A,12,+,12917938,12998937,683.449410609695,-0.259235401486489,0.957415724471463,3,-0.556324118927935,0.47642466944607
ENSG00000019995,ZRANB1,10,+,124988190,125003189,99.8275965840558,-0.00659222913475873,1,3,-0.159890545092024,0.847142686402448
ENSG00000026103,FAS,10,+,89017060,89039059,62.2529127375105,-0.696562972261314,0.701314122050592,3,0.195551896923368,0.928485927418061
ENSG00000043093,DCUN1D1,3,-,182917074,182938073,147.550530161137,-0.101009823759559,1,3,0.333192976862133,0.876926569527104
ENSG00000051009,FHIP1B,11,-,6198345,6211344,39.9083815859579,-0.535698373240965,0.866496536649643,3,-0.10438818284224,1
ENSG00000065559,MAP2K4,17,+,12143829,12158828,65.5559179567444,0.376588122446212,0.957891281318822,3,0.074333575717837,1
ENSG00000065883,CDK13,7,+,40099581,40125580,107.923568988734,0.137719722947939,1,3,-0.159600740227256,0.778745116673818
ENSG00000066697,MSANTD3,9,+,100451735,100462734,157.036925027582,-0.296369838428099,0.962073001996136,3,-0.164332382771716,0.783430575096564
ENSG00000068354,TBC1D25,X,+,48562610,48572609,33.0584018234063,-1.15438858254645,1,3,-0.704649219007399,0.47642466944607
ENSG00000072864,NDE1,16,+,15726354,15743353,61.5569299857213,-0.751335008889029,0.47642466944607,3,-0.109081981140837,0.968031497355727
ENSG00000075426,FOSL2,2,+,28417318,28435317,110.370861653075,-0.663559979970075,0.602315244229935,3,-0.251204649518167,0.497258313934515
ENSG00000076053,RBM7,11,+,114410608,114438607,292.854965714226,-0.0933912485764341,1,3,0.168332767024853,0.868866054839806
ENSG00000078269,SYNJ2,6,+,158099177,158116176,80.065146437477,-0.324484145329174,0.959474391183952,3,-0.188839481232426,0.946605185984076
ENSG00000079999,KEAP1,19,-,10474125,10486124,129.353461913217,0.193629980138069,0.967113051932466,3,-0.179176263599344,0.6279139639599
ENSG00000082516,GEMIN5,5,-,154870411,154887410,199.906144447502,-0.527106772580199,0.662089502337933,3,-0.106617845489116,1
ENSG00000096654,ZNF184,6,-,27433747,27450746,65.3650139591724,0.140988038792887,1,3,0.368273242144573,0.522788870183829
ENSG00000097096,SYDE2,1,-,85144889,85156888,238.978643563888,-0.10499219270058,1,3,0.158371658134428,1
ENSG00000102390,PBDC1,X,+,76178315,76244314,1703.70181610246,-0.0318762876063205,1,3,-0.0387875945088522,1
ENSG00000102606,ARHGEF7,13,+,111305733,111319732,29.0719799655957,-0.21330603196315,1,3,-0.807893676841294,0.47642466944607
ENSG00000103222,ABCC1,16,+,16143054,16166053,54.9599215192929,-0.00700244078426491,1,3,-1.07424049203033,0.497258313934515
ENSG00000103404,USP31,16,-,23051406,23061405,6.63607514719497,-0.110271987225827,1,3,-0.0286309029382404,1
ENSG00000103550,KNOP1,16,-,19680937,19701936,330.934010217388,-0.256739271107648,0.752497388036119,3,0.219015543347126,0.497773014126884
ENSG00000104432,IL7,8,-,78718772,78732771,54.2512726906051,0.284429927994362,1,3,0.200589464440937,1
ENSG00000105875,WDR91,7,-,135170839,135183838,73.7509418312885,-0.741013394598723,0.574565758320797,3,-0.273744174411841,0.47642466944607
ENSG00000107951,MTPAP,10,-,30292801,30309800,204.293775575503,-0.163139043171866,1,3,-0.34478607786138,0.740888803430173
ENSG00000107984,DKK1,10,+,52317658,52327657,1043.9540312846,0.129541460889256,0.991300287179193,3,-0.0359539200229348,1
ENSG00000108219,TSPAN14,10,+,80522632,80537631,73.5090080376067,-0.0263359977162782,1,3,-0.519295644366458,0.47642466944607
ENSG00000108826,MRPL27,17,-,50346867,50367866,290.56934598336,0.0818846419629127,1,3,0.206448772421533,0.76493533764703
ENSG00000109381,ELF2,4,-,139015265,139057264,374.570947452626,-0.0888274971669532,1,3,0.219236654078051,0.521447405340808
ENSG00000109861,CTSC,11,-,88278592,88293591,43.76571138286,-0.198744258364903,1,3,0.0528960711235256,1
ENSG00000110218,PANX1,11,+,94181969,94198968,808.229620938019,-0.272491691592258,0.966611275968473,3,-0.144910539099724,0.99921025826546
ENSG00000111530,CAND1,12,+,67319954,67384953,69.8015016590683,0.0463621277546608,1,3,0.184951557665307,0.720018989544236
ENSG00000111846,GCNT2,6,+,10629369,10655368,50.0130372216395,-0.0907251024108451,1,3,-0.147352080018904,0.900876002224094
