dose,gene_id,gene_name,feature,feature_id,chr,start,end,width,strand,genomic_data,upstream_exon_start,upstream_exon_end,upstream_exon_width,upstream_exon_type,downstream_exon_start,downstream_exon_end,downstream_exon_width,downstream_exon_type,exon_base_mean,DEXseq_padj,DEXseq_log2FC,DESeq_l2fc,DEseq_padj
3,ENSG00000007202,KIAA0100,e23,ENSG00000007202:e23,17,28634087,28634516,430,-,chr17:28634087-28634516:-,28634517,28635609,1093,internal,28633895,28634086,192,internal,17.7889868288527,0.925498454262739,0.361215026204979,0.203524968828513,0.999990042092729
3,ENSG00000009954,BAZ1B,e1,ENSG00000009954:e1,7,73441694,73442180,487,-,chr7:73441694-73442180:-,73442181,73442553,373,internal,73440406,73441693,1288,last,453.441710840407,0.998078301550993,-0.0573761385108611,-0.077534391362868,0.999990042092729
3,ENSG00000015568,RGPD5,e20,ENSG00000015568:e20,2,109838043,109845102,7060,+,chr2:109838043-109845102:+,109835819,109838042,2224,internal,109845103,109845242,140,internal,269.259983599042,0.995088898465512,0.0239552648889312,0.145076630222061,0.999990042092729
3,ENSG00000022567,SLC45A4,e1,ENSG00000022567:e1,8,141211698,141212196,499,-,chr8:141211698-141212196:-,141212197,141212556,360,internal,141207174,141211697,4524,last,48.4136804426641,0.993598550682821,0.0514292090551605,-0.254669831278477,0.999990042092729
3,ENSG00000023041,ZDHHC6,e9,ENSG00000023041:e9,10,112443607,112445169,1563,-,chr10:112443607-112445169:-,112445170,112445650,481,internal,112443515,112443606,92,internal,87.2293883024884,0.957662515085665,0.146353413903739,0.306107003237707,0.999990042092729
3,ENSG00000038219,BOD1L1,e16,ENSG00000038219:e16,4,13597169,13598945,1777,-,chr4:13597169-13598945:-,13598946,13605084,6139,internal,13597104,13597168,65,internal,34.7590853804075,0.995869111311162,-0.0115869753996494,0.0153058497279423,0.999990042092729
3,ENSG00000048405,ZNF800,e1,ENSG00000048405:e1,7,127371815,127373341,1527,-,chr7:127371815-127373341:-,127373342,127375034,1693,internal,127370043,127371814,1772,last,274.143094050433,0.990140278304194,0.0153082019336672,0.203736083067405,0.999990042092729
3,ENSG00000050030,NEXMIF,e1,ENSG00000050030:e1,X,74739499,74740099,601,-,chrX:74739499-74740099:-,74740100,74744477,4378,internal,74732856,74739498,6643,last,15.6719863983349,0.87921981263592,0.420688394388757,0.071369390084643,0.999990042092729
3,ENSG00000065526,SPEN,e2,ENSG00000065526:e2,1,15873137,15876201,3065,+,chr1:15873137-15876201:+,15872816,15873136,321,internal,15876202,15876678,477,internal,150.575111213748,0.996469935287651,-0.170320987160117,-0.512678313782298,0.999990042092729
3,ENSG00000080603,SRCAP,e25,ENSG00000080603:e25,16,30725083,30728965,3883,+,chr16:30725083-30728965:+,30723584,30725082,1499,internal,30728966,30729231,266,internal,59.1840330802309,0.962394519959872,-0.207550360713116,-0.312982764105239,0.999990042092729
3,ENSG00000090905,TNRC6A,e6,ENSG00000090905:e6,16,24791818,24793472,1655,+,chr16:24791818-24793472:+,24789232,24791817,2586,internal,24793473,24793649,177,internal,29.0519940534696,0.999822909340967,0.16813972107602,-0.149421880477353,0.999990042092729
3,ENSG00000091527,CDV3,e1,ENSG00000091527:e1,3,133574285,133575038,754,+,chr3:133574285-133575038:+,133573686,133574284,599,first,133575039,133575115,77,internal,148.817352124077,0.982003951465719,-0.0482427887307555,-0.12801172811604,0.999990042092729
3,ENSG00000099814,CEP170B,e12,ENSG00000099814:e12,14,104887979,104889619,1641,+,chr14:104887979-104889619:+,104886275,104887978,1704,internal,104889620,104889758,139,internal,299.667744879547,0.996260326155785,-0.0445963643510652,-0.0582764224598427,0.999990042092729
3,ENSG00000100731,PCNX1,e6,ENSG00000100731:e6,14,70978649,70988566,9918,+,chr14:70978649-70988566:+,70976942,70978648,1707,internal,70988567,70988699,133,internal,68.6703914609838,0.996292897388836,-0.0694675699309961,-0.0953851553985849,0.999990042092729
3,ENSG00000101574,METTL4,e7,ENSG00000101574:e7,18,2563860,2566820,2961,-,chr18:2563860-2566820:-,2566821,2567654,834,internal,2563797,2563859,63,internal,93.0566199710775,0.932325277073975,0.266079855356404,0.299482608744186,0.999990042092729
3,ENSG00000101639,CEP192,e19,ENSG00000101639:e19,18,13056699,13057584,886,+,chr18:13056699-13057584:+,13055780,13056698,919,internal,13057585,13057733,149,internal,67.7554829742152,0.996260326155785,-0.0160707667318389,-0.0366362502463302,0.999990042092729
3,ENSG00000101745,ANKRD12,e9,ENSG00000101745:e9,18,9258932,9263789,4858,+,chr18:9258932-9263789:+,9254211,9258931,4721,internal,9263790,9263888,99,internal,61.7248657382673,0.987469502776287,0.0780565388692871,0.0831720732057972,0.999990042092729
3,ENSG00000108256,NUFIP2,e2,ENSG00000108256:e2,17,29267531,29285991,18461,-,chr17:29267531-29285991:-,29285992,29287716,1725,internal,29267498,29267530,33,internal,142.114538305341,0.868677365182946,0.138071464323215,0.0685215064288145,0.999990042092729
3,ENSG00000114062,UBE3A,e7,ENSG00000114062:e7,15,25360528,25370565,10038,-,chr15:25360528-25370565:-,25370566,25371812,1247,internal,25360383,25360527,145,internal,274.617638316274,0.879915277834719,0.228085495863936,0.360465919467254,0.999990042092729
3,ENSG00000115760,BIRC6,e10,ENSG00000115760:e10,2,32416164,32429145,12982,+,chr2:32416164-32429145:+,32414769,32416163,1395,internal,32429146,32429295,150,internal,90.2667836586438,0.961350588614906,-0.129957382953203,-0.0710166013038947,0.999990042092729
3,ENSG00000115816,CEBPZ,e14,ENSG00000115816:e14,2,37223402,37227543,4142,-,chr2:37223402-37227543:-,37227544,37229036,1493,internal,37223170,37223401,232,internal,37.1609013996841,0.59116072983582,-0.578950496534151,-0.424609084939014,0.999990042092729
3,ENSG00000118246,FASTKD2,e2,ENSG00000118246:e2,2,206767471,206770090,2620,+,chr2:206767471-206770090:+,206766644,206767470,827,internal,206770091,206770194,104,internal,42.0711378081123,0.982231145813924,-0.200109277941661,-0.0157948546563289,0.999990042092729
3,ENSG00000118496,FBXO30,e1,ENSG00000118496:e1,6,145800310,145804371,4062,-,chr6:145800310-145804371:-,145804372,145806421,2050,internal,145793502,145800309,6808,last,56.8413557056582,0.976590981150608,0.12192642957474,0.553437079276439,0.999990042092729
3,ENSG00000119787,ATL2,e1,ENSG00000119787:e1,2,38296114,38298143,2030,-,chr2:38296114-38298143:-,38298144,38298575,432,internal,38293954,38296113,2160,last,1034.73133244274,0.764943654680838,0.264851986676053,0.462637181805713,0.999990042092729
3,ENSG00000120733,KDM3B,e7,ENSG00000120733:e7,5,138386622,138391012,4391,+,chr5:138386622-138391012:+,138386022,138386621,600,internal,138391013,138392261,1249,internal,35.484003957487,0.684448592731789,-0.72011094937084,-0.81326265580973,0.999990042092729
3,ENSG00000121940,CLCC1,e1,ENSG00000121940:e1,1,108932502,108934624,2123,-,chr1:108932502-108934624:-,108934625,108934942,318,internal,108929505,108932501,2997,last,274.347659319243,0.983659165768631,0.0355745524295479,-0.0415134814530022,0.999990042092729
3,ENSG00000126773,PCNX4,e9,ENSG00000126773:e9,14,60125252,60125636,385,+,chr14:60125252-60125636:+,60124218,60125251,1034,internal,60125637,60125823,187,internal,4.89509279264628,0.984983208309968,-0.272830296183363,-0.239347910403707,0.999990042092729
3,ENSG00000126822,PLEKHG3,e16,ENSG00000126822:e16,14,64742456,64742981,526,+,chr14:64742456-64742981:+,64741036,64742455,1420,internal,64742982,64750249,7268,last,26.0705085376702,0.943926203372661,0.368549177186551,0.274040904166247,0.999990042092729
3,ENSG00000127947,PTPN12,e13,ENSG00000127947:e13,7,77627676,77632347,4672,+,chr7:77627676-77632347:+,77626705,77627675,971,internal,77632348,77632425,78,internal,106.310893642332,0.980346012415293,0.00770789890227253,0.0123360803159068,0.999990042092729
3,ENSG00000127954,STEAP4,e2,ENSG00000127954:e2,7,88281080,88282640,1561,-,chr7:88281080-88282640:-,88282641,88283168,528,internal,88280915,88281079,165,internal,1110.08801063539,0.996260326155785,0.00402068979444792,0.261673197597661,0.999990042092729
3,ENSG00000128915,ICE2,e6,ENSG00000128915:e6,15,60448146,60448847,702,-,chr15:60448146-60448847:-,60448848,60449841,994,internal,60447970,60448145,176,internal,21.147362290069,0.954623747246376,0.224050843913343,0.317254540113532,0.999990042092729
3,ENSG00000131149,GSE1,e8,ENSG00000131149:e8,16,85657605,85661145,3541,+,chr16:85657605-85661145:+,85657277,85657604,328,internal,85661146,85661765,620,internal,109.513685711494,0.98478603353141,0.0161847255242389,-0.0290515443567902,0.999990042092729
3,ENSG00000131398,KCNC3,e3,ENSG00000131398:e3,19,50320785,50322974,2190,-,chr19:50320785-50322974:-,50322975,50324082,1108,internal,50320593,50320784,192,internal,11.9090105340936,0.984937671351217,-0.143636846049449,-0.410675401245194,0.999990042092729
3,ENSG00000133422,MORC2,e25,ENSG00000133422:e25,22,30958695,30967821,9127,-,chr22:30958695-30967821:-,30967822,30968774,953,first,30958641,30958694,54,internal,228.237500916942,0.98923475158816,-0.205968308876168,-0.417469985805739,0.999990042092729
