gene_id,gene_name,runon_chr,runon_strand,runon_start,runon_end,runon_width,runon_base_mean,runon_log2FC,runon_padj,gene_base_mean,gene_log2FC,gene_padj,base_mean_by_runon_width,cell
ENSG00000001167,NFYA,6,+,41102404,41154403,52000,366.01179159737,0.367893788416218,0.00443956769662201,2357.97612989964,0.132837107529883,0.0287859862923055,0.00703868829994943,A549
ENSG00000005189,REXO5,16,+,20849666,20881665,32000,109.285320208858,-0.663820138764485,0.00479716077475963,321.89877231502,-0.920394868530066,1.3671218301091e-12,0.00341516625652681,A549
ENSG00000005801,ZNF195,11,-,3330927,3357926,27000,271.786900150598,1.77569276492603,1.24363944555291e-29,3051.80294733679,0.245909189334818,0.000819145883670546,0.0100661814870592,A549
ENSG00000006432,MAP3K9,14,-,70707526,70722525,15000,104.456720568199,1.06658564275017,1.36026923228495e-06,2561.77624692667,0.0960888848042284,0.130369689677825,0.00696378137121324,A549
ENSG00000008394,MGST1,12,+,16364411,16464410,100000,13476.7687631439,0.652584672478077,3.18131405332021e-28,15052.7287784113,0.0857777672537531,0.0779036271139746,0.134767687631439,A549
ENSG00000013375,PGM3,6,-,83147873,83164872,17000,37.6656125178062,0.320952300806024,0.55318338485819,2387.3802071842,-0.126424441322952,0.0614588471917139,0.0022156242657533,A549
ENSG00000013392,RWDD2A,6,+,83198936,83209935,11000,46.4582521903953,0.778833815160673,0.030546299057815,312.597816686179,0.410328598463438,0.00212571841522186,0.00422347747185412,A549
ENSG00000013588,GPRC5A,12,+,12917938,13017937,100000,3557.88692915795,0.126731818638008,0.0223264487968205,15209.8930942199,-0.455864145593718,5.65228869303882e-23,0.0355788692915795,A549
ENSG00000019995,ZRANB1,10,+,124988190,125003189,15000,198.92272192516,0.819413196435964,4.07827062695648e-07,2416.55533563135,0.127859560349705,0.0521046066617268,0.0132615147950107,A549
ENSG00000026103,FAS,10,+,89017060,89055059,38000,113.886359761557,0.393899873428283,0.0915831868620289,798.425284010727,0.00153668709321055,0.994401852105867,0.0029970094674094,A549
ENSG00000026652,AGPAT4,6,-,161112967,161129966,17000,77.7894936795794,-0.0812271108804007,0.850665443790717,622.108035790509,-0.0297841642076729,0.846997719253709,0.00457585256938703,A549
