gene_id,gene_name,feature,feature_id,chr,start,end,width,strand,upstream_exon_range,upstream_exon_type,upstream_exon_width,downstream_exon_range,downstream_exon_type,downstream_exon_width,exon_base_mean,DEXseq_padj,DEXseq_log2FC,DESeq_l2fc,DEseq_padj,stc15_time_v_vehicle,tissue,time
ENSMUSG00000000544,Gpa33,e1,ENSMUSG00000000544:e1,1,165958174,165974207,16034,+,chr1:165957807-165958173:+,first,367,chr1:165974208-165974362:+,internal,155,1.10980425631311,NA,0.191178559028631,-1.64575573873466,NA,1,Blood,1h
ENSMUSG00000000794,Kcnn3,e1,ENSMUSG00000000794:e1,3,89428712,89472165,43454,+,chr3:89427471-89428711:+,first,1241,chr3:89472166-89472261:+,internal,96,37.7178764831935,0.0161147603532522,0.91351581582376,3.68994089845339,0.00116572351181722,1,Blood,1h
ENSMUSG00000000958,Slc7a7,e8,ENSMUSG00000000958:e8,14,54616579,54645959,29381,-,chr14:54645960-54646505:-,internal,546,chr14:54616453-54616578:-,internal,126,70.6608077316425,0.826103736946195,0.107015775625594,0.530401338433453,0.608130941413415,1,Blood,1h
ENSMUSG00000001761,Smo,e1,ENSMUSG00000001761:e1,6,29736353,29753468,17116,+,chr6:29735693-29736352:+,first,660,chr6:29753469-29753674:+,internal,206,20.9003761073326,0.938104792216554,-0.0429751578456816,-0.820142680276124,0.492962168973259,1,Blood,1h
ENSMUSG00000001855,Nup214,e29,ENSMUSG00000001855:e29,2,31924982,31928113,3132,+,chr2:31923215-31924981:+,internal,1767,chr2:31928114-31928184:+,internal,71,17.4142773179126,0.886485819730123,0.169020928106812,0.649899415337665,0.548003143116028,1,Blood,1h
ENSMUSG00000002028,Kmt2a,e35,ENSMUSG00000002028:e35,9,44764305,44792146,27842,-,chr9:44792147-44792594:-,first,448,chr9:44764235-44764304:-,internal,70,143.411550748829,0.000833444732900376,0.602581190148377,0.588664460211124,0.297559266818216,1,Blood,1h
ENSMUSG00000002393,Nr2f6,e3,ENSMUSG00000002393:e3,8,71831128,71833634,2507,-,chr8:71833635-71834604:-,first,970,chr8:71831033-71831127:-,internal,95,61.9896551089518,0.413116700851159,-0.208377125805661,-0.272584410865424,0.738247974167278,1,Blood,1h
ENSMUSG00000002835,Chaf1a,e3,ENSMUSG00000002835:e3,17,56354635,56363420,8786,+,chr17:56353823-56354634:+,internal,812,chr17:56363421-56363477:+,internal,57,4.50172428754749,0.82465812454225,0.52066194283286,-0.904626129042271,0.600307891095963,1,Blood,1h
ENSMUSG00000003068,Stk11,e1,ENSMUSG00000003068:e1,10,79952742,79960635,7894,+,chr10:79951637-79952741:+,first,1105,chr10:79960636-79960719:+,internal,84,377.673523289619,1.80897473857414e-07,1.58635093705754,0.551613842052278,0.127774362217013,1,Blood,1h
ENSMUSG00000003228,Grk5,e1,ENSMUSG00000003228:e1,19,60879070,60976139,97070,+,chr19:60878187-60879069:+,first,883,chr19:60976140-60976235:+,internal,96,555.678243865888,0.255379600624079,0.812199196306567,1.92186553588461,0.0160593006830767,1,Blood,1h
ENSMUSG00000003316,Glg1,e25,ENSMUSG00000003316:e25,8,111928191,111985402,57212,-,chr8:111985403-111985848:-,first,446,chr8:111928158-111928190:-,internal,33,125.052517210709,0.677227677661788,0.270847099163505,0.378877588463209,0.595709704390677,1,Blood,1h
ENSMUSG00000004054,Map3k11,e3,ENSMUSG00000004054:e3,19,5741017,5745188,4172,+,chr19:5739717-5741016:+,internal,1300,chr19:5745189-5745369:+,internal,181,86.0052633735493,0.301691577937559,-0.313855879068389,0.245135952962672,0.748997096328764,1,Blood,1h
ENSMUSG00000004270,Lpcat3,e1,ENSMUSG00000004270:e1,6,124640323,124675032,34710,+,chr6:124639990-124640322:+,first,333,chr6:124675033-124675140:+,internal,108,140.06306007775,0.0065589095860938,0.951872520492368,-0.103652529702116,0.932722667688834,1,Blood,1h
ENSMUSG00000004347,Pde1c,e19,ENSMUSG00000004347:e19,6,56558257,56629097,70841,-,chr6:56629098-56629472:-,first,375,chr6:56558179-56558256:-,internal,78,2.14765066055142,0.816279263074076,-0.49369812308344,-0.86063102178041,NA,1,Blood,1h
ENSMUSG00000004462,Tbccd1,e6,ENSMUSG00000004462:e6,16,22652784,22660478,7695,-,chr16:22660479-22660857:-,internal,379,chr16:22652628-22652783:-,internal,156,34.1514766438751,0.758028372904393,0.221198683850649,0.168142723236904,0.880715905129729,1,Blood,1h
ENSMUSG00000004633,Chn2,e1,ENSMUSG00000004633:e1,6,54017141,54150448,133308,+,chr6:54016558-54017140:+,first,583,chr6:54150449-54150487:+,internal,39,451.428881867508,0.452059657998715,-0.309092389594953,-0.296523820996996,0.689606198498714,1,Blood,1h
ENSMUSG00000005417,Mprip,e1,ENSMUSG00000005417:e1,11,59553775,59586951,33177,+,chr11:59553333-59553774:+,first,442,chr11:59586952-59587029:+,internal,78,151.395781364735,0.788474567154212,-0.0913571918593723,0.0887704452316844,0.891268855069295,1,Blood,1h
ENSMUSG00000005442,Cic,e2,ENSMUSG00000005442:e2,7,24973059,24984273,11215,+,chr7:24970260-24973058:+,internal,2799,chr7:24984274-24984423:+,internal,150,89.5603455796848,0.000207491932880843,0.754448526034597,1.28573802113804,0.00460908371234124,1,Blood,1h
ENSMUSG00000005534,Insr,e19,ENSMUSG00000005534:e19,8,3261701,3308382,46682,-,chr8:3308383-3308934:-,internal,552,chr8:3261379-3261700:-,internal,322,297.719749581375,0.638501059434643,0.170311020959735,0.592187349160577,0.347112941419033,1,Blood,1h
