gene_id,gene_name,runon_chr,runon_start,runon_end,runon_strand,runon_width,runon_base_mean,runon_log2FC,runon_padj,gene_log2FC,gene_padj,stc15_time_v_vehicle,tissue,time
ENSMUSG00000000385,Tmprss2,16,97345882,97365881,-,20000,10.5915980311591,-0.0398110456257358,0.976525950576379,0.289310718402219,0.871461919866864,1,Blood,1h
ENSMUSG00000000817,Fasl,1,161588258,161608257,-,20000,123.848457670015,1.08647301213339,0.153722845671827,-0.20004349068951,0.870733033827066,1,Blood,1h
ENSMUSG00000001053,N4bp3,11,51526724,51533889,-,7166,29.7571014686369,0.342554594213788,0.656953303056658,0.0326582507567437,0.963736632870322,1,Blood,1h
ENSMUSG00000001123,Lgals9,11,78833805,78853804,-,20000,12.0883489072352,-0.947373030640842,0.210078836554166,-0.810666275967984,0.15460616202916,1,Blood,1h
ENSMUSG00000002014,Ssr4,X,72834431,72854430,+,20000,38.987716473497,0.385871182087918,0.599063297347205,-0.290465818510676,0.129099726041229,1,Blood,1h
ENSMUSG00000002871,Tpra1,6,88889214,88909213,+,20000,27.3272007356832,0.05743033797551,0.964232090237429,-0.235250360502193,0.490859716356505,1,Blood,1h
ENSMUSG00000003882,Il7r,15,9485874,9505873,-,20000,137.220032377038,3.11660928894865,4.75197932261941e-10,0.921418197627477,0.0997149651759767,1,Blood,1h
ENSMUSG00000004383,Large1,8,73521227,73541226,-,20000,15.6460963961583,2.26879684031662,0.000303919125887313,0.270551925365954,0.627042296064717,1,Blood,1h
ENSMUSG00000004677,Myo9b,8,71813357,71819491,+,6135,80.7086749718194,1.88790894433574,0.000295659923035368,0.536887567973488,0.0790425727724133,1,Blood,1h
ENSMUSG00000004771,Rab11a,9,64602581,64622580,-,20000,310.446172679151,0.371254197199756,0.335966639619619,-1.4035002951591,0.00339625354300337,1,Blood,1h
ENSMUSG00000013646,Sh3bp5l,11,58238555,58258554,+,20000,24.8259146576631,0.778667067620133,0.376893233262361,0.0842032686983703,0.833283261642043,1,Blood,1h
ENSMUSG00000015488,Cacfd1,2,26911102,26927296,+,16195,51.3875557170044,0.896140192210546,0.0587808265218767,0.698625262635684,0.0219830296943661,1,Blood,1h
ENSMUSG00000016206,H2-M3,17,37585376,37605375,+,20000,77.9628933126251,0.522525716488216,0.443229905530143,0.30748008926023,0.238235864166766,1,Blood,1h
ENSMUSG00000016520,Lnx2,5,146933465,146953464,-,20000,25.5251341427325,2.432329632468,1.20813703846972e-07,0.49996707373988,0.2938889913394,1,Blood,1h
ENSMUSG00000016664,Pacsin2,15,83239808,83259807,-,20000,185.718649130412,-0.862760465978095,0.0350108657939503,-0.378847670380894,0.415383278287361,1,Blood,1h
ENSMUSG00000017057,Il13ra1,X,35434913,35454912,+,20000,18.1853163643535,-0.10254821234512,0.922490000935325,-0.195345703903303,0.675673357532827,1,Blood,1h
ENSMUSG00000017386,Traf4,11,78030226,78050225,-,20000,74.9158790285187,0.861533527388549,0.0540287593036675,-0.0287857480823671,0.977893255621801,1,Blood,1h
ENSMUSG00000018707,Dync1h1,12,110633380,110653379,+,20000,22.7383620643071,0.577516811533309,0.475039600077529,0.582694877276965,0.0257017527754962,1,Blood,1h
ENSMUSG00000018899,Irf1,11,53668150,53688149,+,20000,105.420108719916,0.328768966647209,0.628710532797247,0.102702056311577,0.831166332055314,1,Blood,1h
