cell,gene_id,gene_name,feature,feature_id,chr,start,end,width,strand,genomic_data,upstream_exon_start,upstream_exon_end,upstream_exon_width,upstream_exon_type,downstream_exon_start,downstream_exon_end,downstream_exon_width,downstream_exon_type,exon_base_mean,DEXseq_padj,DEXseq_log2FC,DESeq_l2fc,DEseq_padj,treated_max_count,treated_max_count_by_intron_width
CAOV3,ENSG00000002330,BAD,e3,ENSG00000002330:e3,11,64284377,64284630,254,-,chr11:64284377-64284630:-,64284631,64284665,35,first,64284182,64284376,195,internal,111.840895216557,2.97238683105007e-05,0.535340267488875,0.769142621831258,0.000732856583121008,196.228807958379,0.772554362040863
CAOV3,ENSG00000004534,RBM6,e2,ENSG00000004534:e2,3,49962686,49967469,4784,+,chr3:49962686-49967469:+,49962576,49962685,110,internal,49967470,49968748,1279,internal,414.843616009533,3.25310290545518e-99,1.2410193331702,1.34644195223132,4.47839145581668e-32,703.077956912821,0.146964455876426
CAOV3,ENSG00000004534,RBM6,e14,ENSG00000004534:e14,3,50061548,50061961,414,+,chr3:50061548-50061961:+,50061462,50061547,86,internal,50061962,50062108,147,internal,125.135580007565,1.35086839181211e-08,0.55258025477174,0.656722248713231,0.00202848351050637,197.302560735543,0.476576233660733
CAOV3,ENSG00000005436,GCFC2,e14,ENSG00000005436:e14,2,75701288,75702198,911,-,chr2:75701288-75702198:-,75702199,75702423,225,internal,75701190,75701287,98,internal,301.805840047283,4.47002839475379e-18,0.687723594744992,0.660729908837426,2.5004986081913e-06,442.666001650258,0.485912186224212
CAOV3,ENSG00000005469,CROT,e4,ENSG00000005469:e4,7,87359331,87361389,2059,+,chr7:87359331-87361389:+,87359206,87359330,125,internal,87361390,87361571,182,internal,138.48265163749,4.42342747737947e-11,0.761072910939791,0.685492485655778,0.000576002958094057,207.420640773264,0.10073853364413
CAOV3,ENSG00000006715,VPS41,e1,ENSG00000006715:e1,7,38726327,38726908,582,-,chr7:38726327-38726908:-,38726909,38726988,80,internal,38722974,38726326,3353,last,147.7956712803,3.72060354124094e-14,1.08691436298724,1.18398327589052,1.23392280984721e-10,259.275800966579,0.445491066952886
CAOV3,ENSG00000007202,KIAA0100,e23,ENSG00000007202:e23,17,28634087,28634516,430,-,chr17:28634087-28634516:-,28634517,28635609,1093,internal,28633895,28634086,192,internal,43.2550745859194,0.000698723011080979,0.817818278256455,1.19072120628071,0.000686131380112465,85.677366855067,0.199249690360621
CAOV3,ENSG00000007202,KIAA0100,e24,ENSG00000007202:e24,17,28635610,28636964,1355,-,chr17:28635610-28636964:-,28636965,28637170,206,internal,28634517,28635609,1093,internal,88.401736989359,6.4695802215414e-05,0.747445330848204,1.12089666803626,1.77962271912702e-06,142.334980420515,0.105044265993
CAOV3,ENSG00000008405,CRY1,e1,ENSG00000008405:e1,12,106992002,106992786,785,-,chr12:106992002-106992786:-,106992787,106992890,104,internal,106991364,106992001,638,last,131.767348585365,2.14069388263976e-05,0.51588643826159,0.696619338211308,0.000446047508583772,194.846914944588,0.24821263050266
CAOV3,ENSG00000009954,BAZ1B,e1,ENSG00000009954:e1,7,73441694,73442180,487,-,chr7:73441694-73442180:-,73442181,73442553,373,internal,73440406,73441693,1288,last,572.148000730145,1.72393703566633e-22,1.02133315774884,0.890861189087864,1.45287569547304e-15,916.1950681437,1.88130404136283
CAOV3,ENSG00000010072,SPRTN,e4,ENSG00000010072:e4,1,231351572,231352609,1038,+,chr1:231351572-231352609:+,231351304,231351571,268,internal,231352610,231355023,2414,last,147.932254619747,3.79842218759045e-29,1.15617595821537,1.39138731699181,1.67948064586998e-15,265.599600990154,0.255876301531941
CAOV3,ENSG00000010292,NCAPD2,e4,ENSG00000010292:e4,12,6510134,6510628,495,+,chr12:6510134-6510628:+,6510075,6510133,59,internal,6510629,6510810,182,internal,5232.14938397519,7.78595544877084e-13,0.726713282604628,0.388082942375258,0.00186366400603135,7713.72680298361,15.583286470674
CAOV3,ENSG00000011243,AKAP8L,e6,ENSG00000011243:e6,19,15399411,15400294,884,-,chr19:15399411-15400294:-,15400295,15400358,64,internal,15399302,15399410,109,internal,124.2430033375,0.00341292766703931,0.761941525153651,0.702820197733968,0.00279321344960037,203.626360759118,0.230346561944704
CAOV3,ENSG00000015568,RGPD5,e20,ENSG00000015568:e20,2,109838043,109845102,7060,+,chr2:109838043-109845102:+,109835819,109838042,2224,internal,109845103,109845242,140,internal,1242.7220322594,1.57644585666394e-19,0.542999503313199,0.894478843528078,7.09052990462277e-21,1992.45143043769,0.28221691649259
CAOV3,ENSG00000022567,SLC45A4,e1,ENSG00000022567:e1,8,141211698,141212196,499,-,chr8:141211698-141212196:-,141212197,141212556,360,internal,141207174,141211697,4524,last,87.9720645033615,2.68236229045715e-07,0.935700482230888,1.0223707726786,1.76579065236503e-05,149.244445489472,0.299087065109161
CAOV3,ENSG00000023041,ZDHHC6,e9,ENSG00000023041:e9,10,112443607,112445169,1563,-,chr10:112443607-112445169:-,112445170,112445650,481,internal,112443515,112443606,92,internal,293.71048196507,7.70054942365988e-27,0.984621819575985,1.57032231841236,7.22340826330723e-32,541.70206140623,0.346578414207441
CAOV3,ENSG00000031698,SARS1,e5,ENSG00000031698:e5,1,109231022,109231630,609,+,chr1:109231022-109231630:+,109230878,109231021,144,internal,109231631,109231786,156,internal,97.3134267063167,1.10661645240894e-13,0.782780031019064,0.636575560821861,0.00897103861514956,141.653120528082,0.232599541097015
CAOV3,ENSG00000038219,BOD1L1,e16,ENSG00000038219:e16,4,13597169,13598945,1777,-,chr4:13597169-13598945:-,13598946,13605084,6139,internal,13597104,13597168,65,internal,170.014465188255,1.85049673367603e-06,0.506354856493414,0.55730441620042,0.00270007924240572,246.628200919429,0.138789083241097
CAOV3,ENSG00000047188,YTHDC2,e28,ENSG00000047188:e28,5,113592179,113593302,1124,+,chr5:113592179-113593302:+,113591996,113592178,183,internal,113593303,113593390,88,internal,106.183977682342,0.000156135003919913,0.635274187942115,0.725908666913688,0.00175890008027374,174.536880650673,0.155281922287076
CAOV3,ENSG00000048405,ZNF800,e1,ENSG00000048405:e1,7,127371815,127373341,1527,-,chr7:127371815-127373341:-,127373342,127375034,1693,internal,127370043,127371814,1772,last,448.06624357345,2.55005387893081e-07,0.682858542264364,0.787590263179348,3.02312914435663e-10,722.730046212904,0.473300619654816
CAOV3,ENSG00000049860,HEXB,e13,ENSG00000049860:e13,5,74720748,74721117,370,+,chr5:74720748-74721117:+,74720643,74720747,105,internal,74721118,74721288,171,last,44.60866834289,1.98510401539221e-07,1.39661866791102,1.80150314648032,1.0102566908484e-07,98.1144039791896,0.265174064808621
CAOV3,ENSG00000050030,NEXMIF,e1,ENSG00000050030:e1,X,74739499,74740099,601,-,chrX:74739499-74740099:-,74740100,74744477,4378,internal,74732856,74739498,6643,last,45.7204295074895,7.58369662688624e-06,1.14067337128753,1.51400476308015,5.34753426109759e-06,84.6076863403564,0.140778180266816
CAOV3,ENSG00000053747,LAMA3,e38,ENSG00000053747:e38,18,23871662,23876293,4632,+,chr18:23871662-23876293:+,23871431,23871661,231,internal,23876294,23876407,114,internal,2412.75531998624,2.63208039722346e-11,0.682598696892887,0.442754531801318,0.000113667116877422,3510.00825503016,0.757773802899431
CAOV3,ENSG00000054523,KIF1B,e22,ENSG00000054523:e22,1,10297247,10320042,22796,+,chr1:10297247-10320042:+,10297174,10297246,73,internal,10320043,10320136,94,internal,2975.13326943739,4.24873847541742e-26,0.853069486873622,0.597899038132524,4.945000425179e-13,4368.16381659463,0.191619749806748
CAOV3,ENSG00000060491,OGFR,e1,ENSG00000060491:e1,20,62805031,62807536,2506,+,chr20:62805031-62807536:+,62804835,62805030,196,first,62807537,62807605,69,internal,425.970121753787,2.17355445443763e-09,0.614722548472173,2.44953821334391,2.20263469899347e-69,865.065026633418,0.34519753656561
CAOV3,ENSG00000061987,MON2,e25,ENSG00000061987:e25,12,62556193,62560490,4298,+,chr12:62556193-62560490:+,62555994,62556192,199,internal,62560491,62561113,623,internal,335.79814894997,8.35057950958592e-20,0.636604184354413,0.572073679721664,1.90184061379715e-05,465.431681735128,0.108290293563315
CAOV3,ENSG00000065526,SPEN,e2,ENSG00000065526:e2,1,15873137,15876201,3065,+,chr1:15873137-15876201:+,15872816,15873136,321,internal,15876202,15876678,477,internal,509.457577613303,2.56435026567552e-06,0.624832535741607,0.361815355272534,0.0114619191837637,718.569505115985,0.23444355794975
CAOV3,ENSG00000066468,FGFR2,e11,ENSG00000066468:e11,10,121517464,121519978,2515,-,chr10:121517464-121519978:-,121519979,121520169,191,internal,121517319,121517463,145,internal,383.710339514339,4.06692212173365e-08,0.725080122780007,1.09677305219286,2.2125730881912e-18,666.072432647456,0.264839933458233
CAOV3,ENSG00000066777,ARFGEF1,e1,ENSG00000066777:e1,8,67199099,67200395,1297,-,chr8:67199099-67200395:-,67200396,67200513,118,internal,67197658,67199098,1441,last,220.078874828177,5.54475208597311e-08,1.0007867900499,1.01745221197244,6.36292560478659e-11,351.603281310776,0.271089654056111
CAOV3,ENSG00000070610,GBA2,e1,ENSG00000070610:e1,9,35737448,35737747,300,-,chr9:35737448-35737747:-,35737748,35737939,192,internal,35736866,35737447,582,last,106.393566854503,9.10475514389742e-06,0.626457159874996,1.24586706283081,9.27862103373815e-10,174.536880650673,0.58178960216891
CAOV3,ENSG00000071082,RPL31,e4,ENSG00000071082:e4,2,101006072,101006349,278,+,chr2:101006072-101006349:+,101005959,101006071,113,internal,101006350,101007267,918,last,500.407855140793,9.76853333393931e-27,0.629491254380229,1.32918789025492,1.1984676689303e-34,849.918723168494,3.05726159413127
CAOV3,ENSG00000077150,NFKB2,e2,ENSG00000077150:e2,10,102395981,102396252,272,+,chr10:102395981-102396252:+,102395888,102395980,93,internal,102396253,102396334,82,internal,22.836992171798,0.0277846757677009,1.03180247183793,2.28408217726236,8.580844687345e-06,62.1851856206131,0.228622005958137
CAOV3,ENSG00000077254,USP33,e10,ENSG00000077254:e10,1,77721206,77721830,625,-,chr1:77721206-77721830:-,77721831,77721925,95,internal,77721172,77721205,34,internal,95.8976107217756,0.00692661892702809,0.505884754189837,0.570873412200713,0.0317701224018353,138.18930137914,0.221102882206624
CAOV3,ENSG00000080603,SRCAP,e25,ENSG00000080603:e25,16,30725083,30728965,3883,+,chr16:30725083-30728965:+,30723584,30725082,1499,internal,30728966,30729231,266,internal,413.9926755914,1.35419795054084e-31,0.866020742350239,0.950847635396367,6.73200870653181e-14,680.43646338512,0.175234731749966
CAOV3,ENSG00000084652,TXLNA,e1,ENSG00000084652:e1,1,32179777,32180313,537,+,chr1:32179777-32180313:+,32179675,32179776,102,first,32180314,32180514,201,internal,165.327337949397,1.24438607831831e-05,0.581701307237985,0.614232246806375,0.00148130537332328,244.595063441078,0.455484289461971
CAOV3,ENSG00000086666,ZFAND6,e6,ENSG00000086666:e6,15,80131294,80137479,6186,+,chr15:80131294-80137479:+,80131180,80131293,114,internal,80137480,80138393,914,last,492.918828899508,0.000427559011472425,0.51032136857734,0.478513353387227,0.000426827147192384,668.519887844225,0.108069816980961
CAOV3,ENSG00000090905,TNRC6A,e6,ENSG00000090905:e6,16,24791818,24793472,1655,+,chr16:24791818-24793472:+,24789232,24791817,2586,internal,24793473,24793649,177,internal,159.346040887112,1.28735303900581e-22,1.33195741953025,1.10930170319879,5.0819540290162e-10,259.275800966579,0.156662115387661
